item_name,category_name,Clinic,sku,unit,minimum_stock_level,description

,,,,,,
STERILISATION REEL,Consumables,,,reel,10,
DISINFECTANT LIQUID (GLUTAPEX),Consumables,,,bottle ,0,
"GLOVES
 NITRILE
 LATEX",Consumables,,,box,50+120,
UNOLOCK SYRINGE,Consumables,,,box,25,
LOCAL ANESTHESIA,Consumables,,,carton,5,
TOPICAL SPRAY,Consumables,,,bottle ,12-15,
"GREEN CLOTH
 BIG
 SMALL",Consumables,,,unit,,
COTTON HOLDER,Consumables,,,unit,,
COTTON ROLL HOLDER,Consumables,,,unit,,
COTTON,Consumables,,,roll,10-12,
GAUZE AND GUAZE BALLS,Consumables,,,pack,23-25,
ENDOBLOCK (SCALE),Consumables,,,unit,,
OIL SPRAY,Consumables,,,unit,10,
COMPOSITE FILLING INSTRUMENT,Consumables,,,unit,,
AGATE SPATULA,Consumables,,,unit,,
CEMENT SPATULA,Consumables,,,unit,,
ALGINATE,Consumables,,,unit,30,
MODELLING WAX,Consumables,,,unit,23,
ZINC OXIDE POWDER AND EUGNOL LIQUID,Consumables,,,unit,10,
BIOSEALER,Consumables,,,unit,10-13,
BLEACHING KIT,Consumables,,,pack,4-5,
"GIC
 LUTING
 RETORATIVE",Consumables,,,pack,11-12,
"COMPOSITE
 FLOWABLE
 RESTORATIVE",Consumables,,,pack,11-12,
DUAL CURE RESIN,Consumables,,,unit,10,
BONDING AGENT,Consumables,,,unit,12-15,
ETCHANT,Consumables,,,unit,25,
"APPLICATOR TIP
 FINE
 REGULAR",Consumables,,,unit,11+13-15,
ARTICULATING PAPER,Consumables,,,unit,25-30,
MATRIX BAND,Consumables,,,unit,10,
MYLAR STRIP,Consumables,,,unit,10,
WEDGES,Consumables,,,unit,10,
ARTICULATING PAPER,Consumables,,,unit,10,
TEFLON TAPE,Consumables,,,unit,10,
"PROTAPER
 21mm 25mm
 Sx .
 S1 S1
 S2 S2 
 F1 F1
 F2 F2
 F3 F3",Consumables,,,box of 6 pieces,10 each class ,
"K FILE
 21mm 25mm
 6 6
 8 8
 10 10
 15 15
 20 20
 25 25
 30 35
  
 Assorted (31mm)",Consumables,,,box of 6 pieces ,200,
"H FILE
 21mm (15-40) and (45-80)
 25mm (15-40) and (45-80)",Consumables,,,box of 6 pieces ,40,
RETREATMENT FILES,Consumables,,,Set of 3 ,7-8,
"ROTARY FILES
 CORONAL FLARE
 17-4%
 20-4%
 25-4%
 GLIDE PATH FILE",Consumables,,,pack of 6,12-15,
"SPREADER
 20
 25",Consumables,,,box of 6 pieces ,10,
"GUTTA PERCHA 
 20-2% F1
 25-2% F2
 20-4% F3
 25-4%",Consumables,,,box,12-16,
"PAPER POINT
  F1
 20-4% F2
 25-4% F3",Consumables,,,box,20-24,
RC HELP,Consumables,,,unit,25-27,
RC CAL,Consumables,,,unit,15,
RC PEX (METAPEX),Consumables,,,unit,15,
EDTA LIQUID,Consumables,,,unit,10,
FORMOCRESOL,Consumables,,,unit,11-12,
RC SOLVE,Consumables,,,unit,10,
POST,Consumables,,,unit,10,
"PEESO REAMERS
 32mm
 1
 2
 Assorted (1-6)",Consumables,,,box of 6 pieces ,10,
MTA PUTTY,Consumables,,,unit,10,
BIO DENTIN,Consumables,,,unit,10,
TEMPORARY FILLING MATERIAL,Consumables,,,unit,15-16,
SALINE,Consumables,,,carton (25 bottles),2,
HYPO,Consumables,,,4.5 lit gallon,2-3,
MOONS PROBE,Consumables,,,unit,,
SUTURE NEEDLE,Consumables,,,pack,,
NEEDLE HOLDER,Consumables,,,unit,,
"SUGICAL BUR
 STRAIGHT
 ROUND",Consumables,,,box of 5 pieces ,10,
BETADINE,Consumables,,,bottle ,10,
HAEMOSTAT LIQUID,Consumables,,,unit,10-12,
ABGEL,Consumables,,,pack,10-12,
GRAFT AND MEMBRANE,Consumables,,,pack,,
MOUTH WASH,Consumables,,,carton ,,
CHLORHEX,Consumables,,,unit,10,
SUCTION TIP,Consumables,,,sack (50 packets) ,1,
"WAX KNIFE, CARVER",Consumables,,,unit,,
GLASS SLAB,Consumables,,,unit,,
MIXING PAD,Consumables,,,pack,,
BLOW TORCH AND GAS REFILL,Consumables,,,unit ,,
HYDROGEN PEROXIDE,Consumables,,,bottle of 200/250ml,,
PROPHYLAXIS PASTE AND BRUSH,Consumables,,,unit,,
DPI PASTE,Consumables,,,Box,,
GREEN STICK,Consumables,,,box ,,
"PUTTY
 ACTIVATOR
 ACCELERATOR",Consumables,,,Set,,
SHADE GUIDE,Consumables,,,unit,,
MOUTH PROP,Consumables,,,unit,,
SEALING MACHINE,Consumables,,,unit,,
UV CHAMBER,Consumables,,,unit,,
AUTOCLAVE,Consumables,,,unit,,
BOILER,Consumables,,,unit,,
ALPINE STONE BUR,Consumables,,,unit,,
SANDPAPER,Consumables,,,unit,,
APEX LOCATOR,Consumables,,,unit,,
CURING MACHINE,Consumables,,,unit,,
SCALER,Consumables,,,unit,,
ENDOMOTOR,Consumables,,,unit,,
AIROTOR,Consumables,,,unit,,
CONTRIANGLE,Consumables,,,unit,,
STRAIGHT HANDPIECE,Consumables,,,unit,,
ULTRASONIC ACTIVATOR,Consumables,,,unit,,
INTRUMENT TRAY,Consumables,,,unit,,
ENDOBOX,Consumables,,,unit,,
BUR BOX,Consumables,,,unit,,
BURS,Consumables ,,,pack,,
MASK,,,,pack,20,
HEADCAP,,,,pack,20,
PMT,,,,,,
