TREATMENT NAME,COST,,,TREATMENT NAME,COST
,,,,,
Root Canal,1200,,,,
POR,500,,,,
metal cap,1000,,,,
ceramic facing,1500,,,,
PFM,1800,,,,
CAD CAM,3000,,,,
DMLS,4000,,,,
Tilite,6000,,,,
Zirconia 5yrs warranty,5500,,,,
Zirconia premium 10 yr warranty,7500,,,,
GIC filling,300,,,,
Composite filling,500,,,,
Scaling,300,,,,
Polishing,300,,,,
Extraction (Mobile teeth),300,,,,
Extraction (firm),500,,,,
wisdom tooth extraction (mesioangular),3500,,,,
Wisdom tooth extraction (distoangular),4500,,,,
Wisdom tooth (Horizontal),5000,,,,
Upper wisdom tooth extraction,1000,,,,
Upper wisdom tooth extraction,1500,,,,
Bleaching (single visit),6000,,,,
Bleaching (second visit ),8000,,,,
veneers,7000,,,,
Re-RC,2500,,,,
Pulpectomy,2500,,,,
Pulpectomy (Pedodontist),4500,,,,
Pedo crown,1000,,,,
Implants (5yrs warranty),15000,,,,
Implants (10 yrs warranty),20000,,,,
Implants (lifetime warranty),25000,,,,
Braces (Metal),22000,,,,
Braces (ceramic),32000,,,,
Aligner (Hybrid),65000,,,,
Aligner (Classic),45000,,,,
Aligner (ACE),85000,,,,
