clinic_name,is_active,email,phone,Address,pincode,time ,city,state,country
,,,,,,,,,
YourVCare Dental - Kandiwali ,active,yourvcarekandivali@gmail.com,9769024497,"D1 plot no 538, Mitra dham soc, near Bank of baroda, next to metro diagnostic center, Ganesh Darshan Society, Sector 5 Charkop, Kandivali(W, Mumbai,",400067,Mon-Sat(10am to 9pm)Sunday 12-8,Mumbai ,Maharashtra,India
YourVCare Dental - Jogeshwari east ,active,yourvcarejog@gmail.com,8850167483,"Gala No 6, First Floor, Tahira Compounds, Ekta Society, Caves Road, Opposite Jain Temple, Jogeshwari East, Mumbai, Maharashtra ",400060,Mon-Sat(10am to 9pm)Sunday 12-9,Mumbai ,Maharashtra,India
YourVCare Dental - Bhayender,active,yourvcarebhayander@gmail.com,9082305534,"Shop No. 17/18, 1st Floor, Rail View Society, Main, Station Rd, near National Dairy, Bhayandar, Chandan nagar, Bhayander (E), Thane, Maharashtra",401105,"10:00 AM - 09:00 PM (Mon-Sat)
12:00 PM - 08:00 PM (Sun)",Mumbai ,Maharashtra,India
YourVCare Dental - Mira road ,active,vcarediagnosticcenter786@gmail.com,9029025568/9136776712,"103,Amrapali bldg.,no.B-33,sector 11,near shanti nagar,near TMT bus stop, Mira road (E), thane",401107,Mon-Sat(8am to 10pm)sunday 8-8,Mumbai ,Maharashtra,India
YourVCare Dental - virar west,active,yourvcarevirarwest@gmil.com,7738787325,"Flat no 203, Parikh Commercial Center, Agashi Road, Premium Park Road, Bolinj, Virar West",401303,12Pm- 9PM ( mon- sat)  12pm - 8pm ( sun),Mumbai ,Maharashtra,India
YourVCare Dental - virar east,active,yourvcarevirar@gmail.com,7977137345,F-28 Mirza nagar CHS LTD station road opp sky walk near talav infront of balaji hospital 1st floor virar (E),401305,Mon-Sat(10am to 9pm)Sunday 12-8,Mumbai ,Maharashtra,India
YourVCare Dental - vasai  WEST,active,yourvcarevasai@gmail.com,8652223440/8652223441,"plot no 26, savarkar nagar, near station, vasai west ",401202,mon-sat 8 to 9 sun 12 to 8,Mumbai ,Maharashtra,India
YourVCare Dental - nalasopara west,active,yourvcarenalasoara@gmail.com,8454027324,a-103 sweta apt 1st floor near railway station above sawla store near roti hotel nalasopara west ,401203,Mon-sat (8-9 PM) sun (12-8),Mumbai ,Maharashtra,India
YourVCare Dental - nalasopara east,active,yourvcare@gmail.com,8433887324,shopno A/06 saraswati apt next to sai baba mandir opp jivdani gala nagar market lodha marg Nallasopara east palghar,401209,Mon-sat (10-9 PM) ,Mumbai ,Maharashtra,India
YourVCare Dental - Thane ,active,yourvcarethane@gmail.com,8454895568,"303/ 3rd floor shiv anand building ,next to anand dighe saheb office ,Tembhi naka ,old thane west ",400601,Mon-Sat(10am to 9pm)Sunday 12-8,Mumbai ,Maharashtra,India
